ebm,chroma 0 mean,chroma 0 std,chroma 1 mean,chroma 1 std,chroma 2 mean,chroma 2 std,chroma 3 mean,chroma 3 std,chroma 4 mean,chroma 4 std,chroma 5 mean,chroma 5 std,chroma 6 mean,chroma 6 std,chroma 7 mean,chroma 7 std,chroma 8 mean,chroma 8 std,chroma 9 mean,chroma 9 std,chroma 10 mean,chroma 10 std,chroma 11 mean,chroma 11 std,mfccs 0 mean,mfccs 0 std,mfccs 1 mean,mfccs 1 std,mfccs 2 mean,mfccs 2 std,mfccs 3 mean,mfccs 3 std,mfccs 4 mean,mfccs 4 std,mfccs 5 mean,mfccs 5 std,mfccs 6 mean,mfccs 6 std,mfccs 7 mean,mfccs 7 std,mfccs 8 mean,mfccs 8 std,mfccs 9 mean,mfccs 9 std,mfccs 10 mean,mfccs 10 std,mfccs 11 mean,mfccs 11 std,mfccs 12 mean,mfccs 12 std,cent mean,cent std,cent skew,rolloff mean,rolloff std,rolloff skew,contrast 0 mean,contrast 0 std,contrast 1 mean,contrast 1 std,contrast 2 mean,contrast 2 std,contrast 3 mean,contrast 3 std,contrast 4 mean,contrast 4 std,contrast 5 mean,contrast 5 std,contrast 6 mean,contrast 6 std,zrate mean,zrate std,zrate skew,tempo
0.032102226,0.27584691,0.284014051,0.299458035,0.310486325,0.284667651,0.251301125,0.206433166,0.194547984,0.226733044,0.231375528,0.246624196,0.247127679,0.176532213,0.167052474,0.115967743,0.087001492,0.10122092,0.151056965,0.159336221,0.149807693,0.129878312,0.089476511,0.090312635,0.108004903,-410.53043,74.44601,22.051516,18.069307,-36.10073,5.3196325,1.3307163,0.6558967,-28.363052,-5.7795806,-7.3224525,-9.365512,-2.5690708,68.75705,48.157955,25.867378,22.434978,19.51986,13.095369,9.973935,7.926457,12.741569,6.6901307,5.383141,7.775418,9.390274,2866.019254,1670.680656,1.264342432,5117.874146,1980.147912,0.393794736,30.37901827,19.45142488,21.40601772,18.93573771,18.3474513,17.7061796,34.70700111,6.697279308,7.104061242,6.869490286,5.555727956,3.37448783,2.624716864,3.354284477,0.130264847,0.147376939,1.611851115,143.5546875
0.061529478,0.335981841,0.318925066,0.284533266,0.219647649,0.244843214,0.276207211,0.273910509,0.276801922,0.245503051,0.213465004,0.260895179,0.313912624,0.058981129,0.10277195,0.092736839,0.084183889,0.079147207,0.08040999,0.095726829,0.095750247,0.084320719,0.078092535,0.113871968,0.094352662,-680.1559,110.796585,10.519601,12.94856,12.991822,10.885181,-4.7346005,-0.08515104,8.142013,-11.808397,-15.66991,-12.560732,-8.66443,82.727394,55.9094,24.115164,19.041601,18.478975,10.441436,17.953289,15.136533,10.323456,13.089882,12.500528,8.805402,5.6449075,1688.230606,828.4494324,0.269240482,3244.884237,1797.925619,0.045141051,31.91376035,13.86078176,20.23596792,17.96072149,19.81296058,17.6976385,34.90527397,5.821530132,5.196886984,6.666064152,5.734465977,4.437711441,3.663857752,2.951322329,0.074254919,0.036729483,0.023281057,234.9076705
0.071557503,0.348000145,0.331899849,0.258681876,0.197327332,0.183397432,0.200170762,0.21230791,0.225359264,0.261530818,0.265324867,0.287835155,0.320122356,0.18056346,0.130216215,0.096473561,0.085904132,0.107709659,0.118744937,0.09208741,0.140118768,0.071612115,0.136037492,0.123625921,0.101081655,-436.6995,100.63302,18.826984,31.223476,-35.953255,7.741394,-4.908598,-19.026585,-0.5555163,-7.496594,-14.725494,-4.7938085,-15.189327,42.801712,26.507395,25.607311,22.683037,14.262612,10.1350975,12.216482,13.863108,10.165007,10.815714,7.4311013,6.491944,8.0862255,2351.307455,1103.866207,1.515620877,4651.022339,1579.043949,-0.059373468,28.0354437,21.80012597,23.28972809,19.77571523,18.67955519,19.18304669,34.50500502,6.776396855,5.988174063,6.721427958,4.440954219,3.655076505,2.478947537,2.163898957,0.08138699,0.061886558,1.947034067,143.5546875
0.082857064,0.195364615,0.194266106,0.201287588,0.189468851,0.215655697,0.298774127,0.352781597,0.377360303,0.334155955,0.243977262,0.210087799,0.194601293,0.132696784,0.148786636,0.125865015,0.090694259,0.114408381,0.120189109,0.148624969,0.142342298,0.099471656,0.117286846,0.142059379,0.119695869,-412.95004,68.62041,26.819593,34.63652,-24.963997,5.1088967,-6.1822605,-7.388995,-22.274221,-9.47825,-16.302176,-13.274583,-8.310673,56.633675,24.760998,20.838066,14.802071,12.261288,12.869091,8.842714,6.770099,9.075541,8.099485,8.474996,8.411224,5.99201,2967.026265,1510.44394,1.115062343,5477.159627,1884.582154,-0.078654112,29.88270415,19.79728307,20.4121186,17.66583478,17.61837627,18.25072464,33.63984195,7.376030911,7.511127024,6.164407861,5.286552562,3.740724212,2.969652595,2.315279447,0.095492893,0.083208195,2.186091157,129.1992188
0.067348356,0.233371731,0.176755684,0.209065628,0.239218471,0.241618941,0.255797242,0.26321941,0.281229512,0.329014013,0.31833174,0.288780286,0.260356548,0.114174887,0.11371779,0.130701639,0.161268075,0.137367071,0.093013622,0.105150284,0.124600481,0.123897759,0.112593901,0.122132545,0.119600792,-391.0887,58.55017,25.252226,29.699783,-24.078775,4.4508753,-10.319922,-16.676456,-23.200857,-12.282422,-11.926398,-7.591928,-7.498301,59.81663,25.97849,25.159014,14.219508,8.997586,11.2581625,7.9378734,8.957281,9.146905,6.466778,7.7943726,6.616964,7.134793,3321.621498,1645.074906,0.966454176,6034.53064,1848.844034,0.194263546,26.77734452,20.6780873,21.81565018,17.86006735,17.4538278,17.68253843,33.21543163,7.984142364,7.763971661,7.725977009,5.437925659,3.759199457,3.160381291,2.665727456,0.112297906,0.102739985,2.260221831,151.9990809
0.057971089,0.291714078,0.37759381,0.355989216,0.233318417,0.197806954,0.212680996,0.225825746,0.231186236,0.28155661,0.271394462,0.224317422,0.204402118,0.106241435,0.122962851,0.111071534,0.090760864,0.130663751,0.129530003,0.131255009,0.111637948,0.061817473,0.104364599,0.131944526,0.121165409,-441.66876,105.04444,27.905384,28.940859,-35.207504,-0.38147128,-1.8447751,-22.90883,-11.015333,-10.384609,-13.341634,-4.2262335,-6.302261,69.375565,19.388567,15.661243,12.760064,12.843816,9.289199,11.099982,9.799897,11.259624,8.352587,11.201278,7.6689525,7.511638,2094.463419,860.2480466,1.486811532,4315.961711,1417.420643,-0.346621708,26.96268891,19.99554667,22.62204029,18.49351465,17.14569928,18.43818884,33.54417211,6.681793662,8.294307275,7.287908666,4.673533633,3.218289138,2.629907559,2.255607093,0.07784243,0.050029689,1.149608668,198.7680288
0.041908355,0.144899883,0.18311415,0.233809215,0.283147187,0.373263096,0.4709593,0.442643915,0.33010593,0.1719581,0.143673831,0.145165853,0.140432908,0.060253012,0.068514478,0.088835202,0.100889934,0.060506561,0.042889203,0.07452108,0.063431168,0.04191903,0.056754738,0.058592538,0.060929093,-598.62286,116.03642,-59.156986,11.672502,1.4122229,5.4634333,-2.1362011,-5.7499456,-3.5838885,-9.847604,-10.618634,-10.201979,-3.3035405,48.83461,23.563095,7.516002,9.70989,16.793114,12.631424,13.019446,5.230415,6.240778,6.3971014,5.5515795,5.802182,4.706594,1734.421244,440.2805945,-0.230960273,2984.890747,730.131986,0.016418225,34.76225755,15.85751536,19.86371491,17.53093006,17.54853236,19.22609856,38.94988125,4.441579239,5.927881127,6.330655842,3.134810275,1.776626176,1.604907883,3.374301661,0.101180465,0.041376224,-0.413533622,73.828125
0.064806221,0.236640609,0.279121293,0.277957225,0.215378951,0.232328133,0.292545757,0.315312117,0.32935239,0.309393357,0.272269307,0.204437491,0.205480047,0.096923483,0.110848728,0.106980667,0.07705585,0.093783837,0.121576541,0.141237635,0.115806248,0.114301876,0.119732947,0.104655817,0.082251539,-457.27112,72.29014,32.817913,17.38705,-24.822206,8.648951,-6.4326653,-11.453147,-18.04206,-9.312129,-11.200715,-7.199409,-11.398954,73.05208,27.797596,15.418332,14.853394,12.857739,9.961253,10.854984,7.0720096,8.909913,6.737008,8.51881,4.8287244,6.7859,3016.688462,1412.011568,0.604127775,5881.754557,1936.625505,-0.468442373,26.68725623,18.44283239,20.47328831,18.10249377,16.91473375,17.24660852,34.14528013,7.541795999,8.05573879,8.368409302,5.608245779,3.648492696,2.506532578,2.628230011,0.104324906,0.083417536,1.224801634,135.9991776
0.083951288,0.33758657,0.283446364,0.279859034,0.278743727,0.205248024,0.21343395,0.257134608,0.2574604,0.153806873,0.142781645,0.255695759,0.350832,0.135952299,0.135880994,0.143554156,0.124881744,0.080731468,0.104219898,0.160000255,0.125134922,0.073948894,0.124087068,0.14528432,0.152712837,-389.91245,119.59132,17.969486,21.410816,-40.97071,-2.6856358,-12.023187,-37.167923,-7.674649,-9.697613,-14.19569,0.048221327,-7.9149637,43.86563,16.469336,14.95002,15.526388,11.342929,14.713409,12.844395,12.592221,10.112553,9.310753,8.575319,12.12401,5.630634,1791.139458,702.3751708,2.383214229,3842.530314,1422.86035,-0.083087231,31.57531316,23.45058979,25.07984276,21.37321402,19.21172403,20.25332989,33.49331297,6.360146061,6.062033666,6.276880395,5.83873877,3.5691199,2.76734017,2.699471074,0.05545383,0.019748943,1.2895627,107.6660156
0.08836692,0.286069977,0.229804153,0.248365097,0.245931942,0.193286572,0.194333957,0.21454519,0.249937171,0.271987485,0.298306106,0.346810051,0.335652755,0.111026248,0.130176197,0.145845189,0.121263486,0.123784244,0.131305017,0.108613417,0.090707857,0.104975256,0.085917065,0.101833769,0.130578077,-409.41428,63.24948,22.761915,15.408161,-34.378914,3.742751,-3.3349729,-8.697247,-24.469131,-9.306635,-10.379841,-4.483858,-10.841826,78.263985,28.795706,14.909576,13.491092,11.474889,11.249257,8.611502,8.534971,11.551271,8.761545,6.4425936,6.2828097,6.498421,2925.557326,1229.971315,0.759483439,5834.650675,1610.284898,-0.736500189,24.33909637,21.98186995,22.89127726,20.1841597,18.88379888,17.45155749,34.5645936,7.039876395,8.791710422,8.122517553,6.479417719,4.821346186,3.018510189,2.980289609,0.101083261,0.071375546,0.996999002,135.9991776
